Šifra artikla,EAN,Spletne strani,Naziv artikla EN,Naziv artikla,Proizvajalec,Dobavitelj,ABC klasifikacija,Merska enota,Oznaka tarifa,Država proizvoda,Bruto teža,Enota bruto teže,Neto teža,Enota neto teže,Volumen,Enota volumna,Dolžina paketa,Enota dolžine paketa,Širina paketa,Enota širine paketa,Višina paketa,Enota višine paketa,Kategorije svetila ANG,Kategorije svetila SLO,Kategorije vid ANG,Kategorije vid SLO,Cena B2B,Cena B2C,Popust,Valuta,DDV,PAK2,Omejitev pri naročanju,Skupina popusta,S popust %,Posebni popust za stranko,Glavna slika,Ostale slike,Glavni dokument,Vloge dokumentov,Ostali dokumenti,VID trenutna zaloga,VID naročena količina,VID količina za odpremo,VID razpoložljiva količina,VID naročena količina dobaviteljem,VID datum dobave,VID koli. prihodnjih dobav,Dobavitelj zaloga,Dobavitelj naročena zaloga,Dobavitelj datum,Skladišče,Grlo,Svetilka vključuje svetlobni vir,Senzor gibanja,Max moč sijalke,Garancija,Zračni pretok,Uporaba ANG,Uporaba SLO,Način montaže ANG,Način montaže SLO,Simbol atributa,Baterija,Kapaciteta baterije,Kot svetlobnega snopa,Enota kota svetlobnega snopa,Presek kabla,Višina stropne kapice,Enota višine stropne kapice,Širina stropne kapice,Enota širine stropne kapice,Čas polnjenja,Način polnjenja ANG,Način polnjenja SLO,Nazivna jakost toka,Nazivna napetost,Nazivna moč,Kolekcija,Temperatura barve,Komentarji,Dopolnilna barva I ANG,Dopolnilna barva I SLO,Dopolnilna barva II ANG,Dopolnilna barva II SLO,Dopolnilni simbol tkanine iz vzorčne škatle I,Dopolnilni material I ANG,Dopolnilni material I SLO,Dopolnilni material II ANG,Dopolnilni material II SLO,Dopolnilni material III ANG,Dopolnilni material III SLO,Indeks barvnega videza (CRI),Vrsta toka,Izvrtina (cutout),Kot detekcije,Razdalja detekcije,Hitrost detekcije,Premer,Višina,Enota višine,Dolžina,Enota dolžine,Širina,Enota širine,Zatemnljivo ANG,Zatemnljivo SLO,Razdalja od stene,Enota razdalje od stene,EAN koda,Električni razred ANG,Režim nujne osvetlitve ANG,Režim nujne osvetlitve SLO,Energijski razred,Ekvivalent,Simbol tkanine iz vzorčne škatle,Svetlobni tok,Enota svetlobnega toka,Frekvenca,Enota frekvence,Bruto teža (2),Enota bruto teže (2),Nastavitev višine,Razpon nastavitve višine,Enota razpona nastavitve višine,Višina daljše roke,Enota višine daljše roke,Višina senčnika reflektorja,Enota višine senčnika reflektorja,Višina krajše roke,Enota višine krajše roke,Dimenzije odprtine,Enota dimenzij odprtine,Oblika odprtine ANG,Oblika odprtine SLO,Ikone,IK stopnja,Montažna višina,IP stopnja zaščite,Oblika svetilke ANG,Oblika svetilke SLO,Prevladujoča barva ANG,Prevladujoča barva SLO,Prevladujoč material ANG,Prevladujoč material SLO,Dolžina podnožja,Enota dolžine podnožja,Dolžina horizontalne roke,Enota dolžine horizontalne roke,Dolžina senčnika,Enota dolžine senčnika,Dolžina vertikalne roke,Enota dolžine vertikalne roke,Življenjska doba,Vrsta svetlobnega vira ANG,Vrsta svetlobnega vira SLO,Luks,Model,Vrtenje motorja,Neto teža (2),Enota neto teže (2),Hrup,Število svetlobnih segmentov,Število svetlobnih virov,Število paketov,Število ciklov polnjenja,PCN,Kosov na karton,Višina paketa I,Višina paketa II,Višina paketa III,Enota višine paketa I,Enota višine paketa II,Enota višine paketa III,Dolžina paketa I,Dolžina paketa II,Dolžina paketa III,Enota dolžine paketa I,Enota dolžine paketa II,Enota dolžine paketa III,Volumen paketa,Enota volumna paketa,Širina paketa I,Širina paketa II,Širina paketa III,Enota širine paketa I,Enota širine paketa II,Enota širine paketa III,Faktor moči,Ime izdelka,Razdelitev na segmente,Velikost,Podnožje / socket,Dolžina spuščenega stropa,Enota dolžine spuščenega stropa,Solarni panel,Solarna moč,Slog ANG,Slog SLO,Tehnična opomba,Časovna zakasnitev,Vrsta kabla,Video,Napetost,Enota napetosti,Širina podnožja,Enota širine podnožja,Širina senčnika reflektorja,Enota širine senčnika reflektorja,Delovna temperatura,Delovni čas,Združljivo z,Količina odprodaje,Popust odprodaje %,Rabatna skupina artikla,Rabatna skupina ERP
BA.BC15.00300,5949097703515,svetila_si|svetila_si_en,ML300 ceiling light LED 15W warm white PIR round white,ML300 stropna svetilka LED 15W toplo bela PIR okrogla bela,00000190,91086973,B,kom,94052011,CN,0.655,,0.49,,0,,390,mm,390,mm,45,mm,Interior lighting > Ceiling lamps > Flush mounted lamps,Notranja svetila > Stropna svetila > Nadgradne svetilke,,,23.51,23.51,0,EUR,22,10,,,,,https://cdn.braytron.center/images/BC15-00300-1.webp,https://cdn.braytron.center/images/BC15-00300-2.webp|https://cdn.braytron.center/images/BC15-00300-3.webp|https://cdn.braytron.center/images/BC15-00300-4.webp|https://cdn.braytron.center/images/BC15-00300-5.webp|https://cdn.braytron.center/images/BC15-00300-6.webp|https://cdn.braytron.center/images/BC15-00300-7.webp,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC15-00300_EN.pdf,Podatkovni list,,,,,,,,,,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,15,,3000K,,,,,,,,,,,,,≥80,,,,,,,67,,,,,,Not-Dimmable,ne,,,,,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,IP20,Non-Directional,neusmerjena,White,bela,Metal,kovina,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC15.00330,5949097703522,svetila_si|svetila_si_en,ML300 ceiling light LED 15W cold white PIR round white,ML300 stropna svetilka LED 15W hladno bela PIR okrogla bela,00000190,91086973,B,kom,94052011,CN,0.655,,0.49,,0,,390,mm,390,mm,45,mm,Interior lighting > Ceiling lamps > Flush mounted lamps,Notranja svetila > Stropna svetila > Nadgradne svetilke,,,26.89,26.89,0,EUR,22,10,,,,,https://cdn.braytron.center/images/BC15-00330-1.webp,https://cdn.braytron.center/images/BC15-00330-2.webp|https://cdn.braytron.center/images/BC15-00330-3.webp|https://cdn.braytron.center/images/BC15-00330-4.webp|https://cdn.braytron.center/images/BC15-00330-5.webp|https://cdn.braytron.center/images/BC15-00330-6.webp|https://cdn.braytron.center/images/BC15-00330-7.webp,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC15-00330_EN.pdf,Podatkovni list,,10,0,0,10,10,,,2590,,,Glavno skladišče Rakovnik 9a,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,15,,6500K,,,,,,,,,,,,,≥80,,,,,,,67,,,,,,Not-Dimmable,ne,,,,,,,,,,1460,,,,,,,,,,,,,,,,,,,,,,IP20,Non-Directional,neusmerjena,White,bela,Metal,kovina,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC17.00700,5949097713439,svetila_si|svetila_si_en,BULKHEAD B bulkhead light LED 8W warm white IP54 oval white,BULKHEAD B ladijska svetilka LED 8W toplo bela IP54 ovalna bela,00000190,91086973,C,kom,94054039,CN,0,,0,,0,,0,mm,0,mm,0,mm,Outdoor lighting > Stenska svetila > Bulkhead,Zunanja svetila > Stenska svetila > Bulkhead,,,6.8,6.8,0,EUR,22,32,,,,,https://cdn.braytron.center/images/BC17-00700-1.webp,https://cdn.braytron.center/images/BC17-00700-2.webp|https://cdn.braytron.center/images/BC17-00700-3.webp|https://cdn.braytron.center/images/BC17-00700-4.webp|https://cdn.braytron.center/images/BC17-00700-5.webp|https://cdn.braytron.center/images/BC17-00700-6.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BC17-007X0.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC17-00700_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,8,,3000K,,,,,,,,,,,,,≥80,,,,,,,51,,160,,90,,Not-Dimmable,ne,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,White,bela,PP,PP,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC17.00730,5949097713446,svetila_si|svetila_si_en,BULKHEAD B bulkhead light LED 8W cold white IP54 oval white,BULKHEAD B ladijska svetilka LED 8W hladno bela IP54 ovalna bela,00000190,91086973,C,kom,94054039,CN,0,,0,,0,,0,mm,0,mm,0,mm,Outdoor lighting > Stenska svetila > Bulkhead,Zunanja svetila > Stenska svetila > Bulkhead,,,6.8,6.8,0,EUR,22,32,,,,,https://cdn.braytron.center/images/BC17-00730-1.webp,https://cdn.braytron.center/images/BC17-00730-2.webp|https://cdn.braytron.center/images/BC17-00730-3.webp|https://cdn.braytron.center/images/BC17-00730-4.webp|https://cdn.braytron.center/images/BC17-00730-5.webp|https://cdn.braytron.center/images/BC17-00730-6.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BC17-007X0.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC17-00730_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,1312,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,8,,6500K,,,,,,,,,,,,,≥80,,,,,,,51,,160,,90,,Not-Dimmable,ne,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,White,bela,PP,PP,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC17.00900,5949097713477,svetila_si|svetila_si_en,BULKHEAD B outdoor light LED 18W warm white IP54 oval white,BULKHEAD B zunanja svetilka LED 18W toplo bela IP54 ovalna bela,00000190,91086973,B,kom,94054039,CN,0,,0,,0,,0,mm,0,mm,0,mm,Outdoor lighting > Stenska svetila > Bulkhead,Zunanja svetila > Stenska svetila > Bulkhead,,,13.78,13.78,0,EUR,22,24,,,,,https://cdn.braytron.center/images/BC17-00900-1.webp,https://cdn.braytron.center/images/BC17-00900-2.webp|https://cdn.braytron.center/images/BC17-00900-3.webp|https://cdn.braytron.center/images/BC17-00900-4.webp|https://cdn.braytron.center/images/BC17-00900-5.webp|https://cdn.braytron.center/images/BC17-00900-6.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BC17-009X0.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC17-00900_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,569,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,18,,3000K,,,,,,,,,,,,,≥80,,,,,,,58,,260,,135,,Not-Dimmable,ne,,,,,,,,,,1780,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,White,bela,PP,PP,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC17.00930,5949097713484,svetila_si|svetila_si_en,BULKHEADBELP bulkhead light LED 18W cold white IP54 oval white,BULKHEADBELP ladijska svetilka LED 18W hladno bela IP54 ovalna bela,00000190,91086973,B,kom,94054039,CN,0.33,,0.26,,0,,265,mm,140,mm,63,mm,Outdoor lighting > Stenska svetila > Bulkhead,Zunanja svetila > Stenska svetila > Bulkhead,,,12.78,12.78,0,EUR,22,24,,,,,https://cdn.braytron.center/images/BC17-00930-1.webp,https://cdn.braytron.center/images/BC17-00930-2.webp|https://cdn.braytron.center/images/BC17-00930-3.webp|https://cdn.braytron.center/images/BC17-00930-4.webp|https://cdn.braytron.center/images/BC17-00930-5.webp|https://cdn.braytron.center/images/BC17-00930-6.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BC17-009X0.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC17-00930_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,18,,6500K,,,,,,,,,,,,,≥80,,,,,,,58,,260,,135,,Not-Dimmable,ne,,,,,,,,,,1780,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,White,bela,PP,PP,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BC17.01100,5949097713491,svetila_si|svetila_si_en,BULKHEAD B bulkhead light LED 12W warm white IP54 round white,BULKHEAD B ladijska svetilka LED 12W toplo bela IP54 okrogla bela,00000190,91086973,C,kom,94054039,CN,0,,0,,0,,0,mm,0,mm,0,mm,Outdoor lighting > Stenska svetila > Bulkhead,Zunanja svetila > Stenska svetila > Bulkhead,,,9.28,9.28,0,EUR,22,20,,,,,https://cdn.braytron.center/images/BC17-01100-1.webp,https://cdn.braytron.center/images/BC17-01100-2.webp|https://cdn.braytron.center/images/BC17-01100-3.webp|https://cdn.braytron.center/images/BC17-01100-4.webp|https://cdn.braytron.center/images/BC17-01100-5.webp|https://cdn.braytron.center/images/BC17-01100-6.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BC17-011X0.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BC17-01100_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,12,,3000K,,,,,,,,,,,,,≥80,,,,,,,50,,,,,,Not-Dimmable,ne,,,,,,,,,,1140,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,White,bela,PP,PP,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BG43.02302,5949097705649,svetila_si|svetila_si_en,DALLAS 800 floor light LED 7W warm white IP54 oval black,DALLAS 800 stoječa svetilka LED 7W toplo bela IP54 ovalna črna,00000190,91086973,B,kom,94054099,CN,2.2,,1.9,,0,,140,mm,135,mm,810,mm,Outdoor lighting > Ground lights,Zunanja svetila > Talna svetila,,,110.56,110.56,0,EUR,22,4,,,,,https://cdn.braytron.center/images/BG43-02302-1.webp,https://cdn.braytron.center/images/BG43-02302-2.webp|https://cdn.braytron.center/images/BG43-02302-3.webp|https://cdn.braytron.center/images/BG43-02302-4.webp,https://cdn.braytron.center/cefiles/8-CE-CERTIFICATE.pdf,CE izjava|DIALux datoteka|Podatkovni list|CE izjava|CE izjava|CE izjava,https://cdn.braytron.center/diafiles/BG43-02302.rar|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BG43-02302_EN.pdf|https://cdn.braytron.center/cefiles/8-EC-DECLERATION.pdf|https://cdn.braytron.center/cefiles/8-EMC-TEST-EBO2110046-E152.pdf|https://cdn.braytron.center/cefiles/8-LVD-TEST-EBO2110046-E153.pdf,,,,,,,,160,,,,,,,,2 leti,,,,,,,,,120⁰,,,,,,,,,,,220-240V 50/60Hz,7,,3000K,,,,,,,,,,,,,≥80,,,,,,,800,,125,,125,,Not-Dimmable,ne,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,IP54,Non-Directional,neusmerjena,Grey,siva,Aluminium-PC,aluminij-PC,,,,,,,,,20000 h,LED,LED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BG43.03302,5949097718342,svetila_si|svetila_si_en,PARIS 800 floor light E27 IP54 round black,PARIS 800 talna svetilka E27 IP54 okrogla črna,00000190,91086973,C,kom,94054099,CN,1.9616,,1.52,,0,,810,mm,185,mm,185,mm,Outdoor lighting > Ground lights,Zunanja svetila > Talna svetila,,,70,70,0,EUR,22,4,,,,,https://cdn.braytron.center/images/BG43-03302-1.webp,https://cdn.braytron.center/images/BG43-03302-2.webp|https://cdn.braytron.center/images/BG43-03302-3.webp,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BG43-03302_EN.pdf,Podatkovni list,,3,0,0,3,0,,,312,,,Glavno skladišče Rakovnik 9a,,,,,3 leta,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP54,,,Grey,siva,Aluminium,aluminij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BG43.04102,5949097718366,svetila_si|svetila_si_en,MILANO 300 floor light E27 IP44 round black,MILANO 300 talna svetilka E27 IP44 okrogla črna,00000190,91086973,B,kom,94054099,CN,0.752,,0.68,,0,,315,mm,100,mm,100,mm,Outdoor lighting > Ground lights,Zunanja svetila > Talna svetila,,,43.11,43.11,0,EUR,22,9,,,,,https://cdn.braytron.center/images/BG43-04102-1.webp,https://cdn.braytron.center/images/BG43-04102-2.webp|https://cdn.braytron.center/images/BG43-04102-3.webp|https://cdn.braytron.center/images/BG43-04102-4.webp|https://cdn.braytron.center/images/BG43-04102-5.webp|https://cdn.braytron.center/images/BG43-04102-6.webp,https://cdn.braytron.center/3dfiles/BG43-XXXX2.rar,3D datoteka|Podatkovni list,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BG43-04102_EN.pdf,2,0,0,2,0,,,234,,,Glavno skladišče Rakovnik 9a,,,,,3 leta,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,Grey,siva,Aluminium-PC,aluminij-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BG43.04202,5949097718373,svetila_si|svetila_si_en,MILANO 500 floor light E27 IP44 round black,MILANO 500 talna svetilka E27 IP44 okrogla črna,00000190,91086973,B,kom,94054099,CN,1.079,,0.99,,0,,510,mm,100,mm,100,mm,Outdoor lighting > Ground lights,Zunanja svetila > Talna svetila,,,58.33,58.33,0,EUR,22,9,,,,,https://cdn.braytron.center/images/BG43-04202-1.webp,https://cdn.braytron.center/images/BG43-04202-2.webp|https://cdn.braytron.center/images/BG43-04202-3.webp|https://cdn.braytron.center/images/BG43-04202-4.webp|https://cdn.braytron.center/images/BG43-04202-5.webp|https://cdn.braytron.center/images/BG43-04202-6.webp,https://cdn.braytron.center/3dfiles/BG43-XXXX3.rar,3D datoteka|Podatkovni list,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BG43-04202_EN.pdf,5,0,0,5,0,,,342,,,Glavno skladišče Rakovnik 9a,,,,,3 leta,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,Grey,siva,Aluminium-PC,aluminij-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BG43.04302,5949097718380,svetila_si|svetila_si_en,MILANO 800 floor light E27 IP44 round black,MILANO 800 talna svetilka E27 IP44 okrogla črna,00000190,91086973,B,kom,94054099,CN,1.575,,1.45,,0,,815,mm,100,mm,100,mm,Outdoor lighting > Ground lights,Zunanja svetila > Talna svetila,,,77.67,77.67,0,EUR,22,9,,,,,https://cdn.braytron.center/images/BG43-04302-1.webp,https://cdn.braytron.center/images/BG43-04302-2.webp|https://cdn.braytron.center/images/BG43-04302-3.webp|https://cdn.braytron.center/images/BG43-04302-4.webp|https://cdn.braytron.center/images/BG43-04302-5.webp|https://cdn.braytron.center/images/BG43-04302-6.webp,https://cdn.braytron.center/3dfiles/BG43-XXXX4.rar,3D datoteka|Podatkovni list,https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BG43-04302_EN.pdf,2,0,0,2,0,,,342,,,Glavno skladišče Rakovnik 9a,,,,,3 leta,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP44,,,Grey,siva,Aluminium-PC,aluminij-PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BH04.00100,5949097708954,svetila_si|svetila_si_en,BETA 9414 RND ceiling light GU10 round white,BETA 9414 RND stropna svetilka GU10 okrogla bela,00000190,91086973,B,kom,94051091,CN,0.4524,,0.4,,0,,150,mm,105,mm,105,mm,Interior lighting > Spotlights and spots,Notranja svetila > Reflektorska svetila,,,18.53,18.53,0,EUR,22,20,,,,,https://cdn.braytron.center/images/BH04-00100-1.webp,https://cdn.braytron.center/images/BH04-00100-2.webp|https://cdn.braytron.center/images/BH04-00100-3.webp|https://cdn.braytron.center/images/BH04-00100-4.webp|https://cdn.braytron.center/images/BH04-00100-5.webp|https://cdn.braytron.center/images/BH04-00100-6.webp,https://cdn.braytron.center/3dfiles/BH04-XXXX4.rar,3D datoteka|CE izjava|Podatkovni list|CE izjava,https://cdn.braytron.center/cefiles/9-CE-CERTIFICATE.pdf|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BH04-00100_EN.pdf|https://cdn.braytron.center/cefiles/9-LVD-TEST-EN-60598-2-1.pdf,15,0,0,15,0,,,1312,,,Glavno skladišče Rakovnik 9a,,,,,2 leti,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP20,,,White-Black,bela-črna,Aluminium,aluminij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BH04.00101,5949097708961,svetila_si|svetila_si_en,BETA 9414 RND ceiling light GU10 round black/gold,BETA 9414 RND stropna svetilka GU10 okrogla črna/zlata,00000190,91086973,B,kom,94051091,CN,0.4482,,0.39,,0,,150,mm,105,mm,105,mm,Interior lighting > Spotlights and spots,Notranja svetila > Reflektorska svetila,,,18.53,18.53,0,EUR,22,20,,,,,https://cdn.braytron.center/images/BH04-00101-1.webp,https://cdn.braytron.center/images/BH04-00101-2.webp|https://cdn.braytron.center/images/BH04-00101-3.webp|https://cdn.braytron.center/images/BH04-00101-4.webp|https://cdn.braytron.center/images/BH04-00101-5.webp|https://cdn.braytron.center/images/BH04-00101-6.webp,https://cdn.braytron.center/3dfiles/BH04-XXXX4.rar,3D datoteka|CE izjava|Podatkovni list|CE izjava,https://cdn.braytron.center/cefiles/9-CE-CERTIFICATE.pdf|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BH04-00101_EN.pdf|https://cdn.braytron.center/cefiles/9-LVD-TEST-EN-60598-2-1.pdf,,,,,,,,2520,,,,,,,,2 leti,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP20,,,Black-Golden,črna - zlata,Aluminium,aluminij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
BA.BH04.00110,5949097708978,svetila_si|svetila_si_en,BETA 9414 ceiling light GU10 square white,BETA 9414 stropna svetilka GU10 kvadratna bela,00000190,91086973,B,kom,94051091,CN,0.6138,,0.56,,0,,150,mm,105,mm,105,mm,Interior lighting > Spotlights and spots,Notranja svetila > Reflektorska svetila,,,20.2,20.2,0,EUR,22,20,,,,,https://cdn.braytron.center/images/BH04-00110-1.webp,https://cdn.braytron.center/images/BH04-00110-2.webp|https://cdn.braytron.center/images/BH04-00110-3.webp|https://cdn.braytron.center/images/BH04-00110-4.webp|https://cdn.braytron.center/images/BH04-00110-5.webp,https://cdn.braytron.center/3dfiles/BH04-XXXX5.rar,3D datoteka|CE izjava|Podatkovni list|CE izjava,https://cdn.braytron.center/cefiles/9-CE-CERTIFICATE.pdf|https://bapp.ro/product-datasheet/c7511a08508a4080a925c82de3b1c89e/BH04-00110_EN.pdf|https://cdn.braytron.center/cefiles/9-LVD-TEST-EN-60598-2-1.pdf,6,0,0,6,0,,,1179,,,Glavno skladišče Rakovnik 9a,,,,,2 leti,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,,,,,,,,,,,,,,,140,,97,,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IP20,,,White-Black,bela-črna,Aluminium,aluminij,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220-240V 50/60Hz,,,,,,,,,0,0,BRAYTRON,BRAYTRON
